Day,Notes
2012-06-27,Slow Wednesday
2012-06-28,Play Day
2012-06-29,
2012-06-30,Jr golf team
2012-08-01,
2012-08-02,DWGG Captains Rd. 2
2012-08-03,
2012-08-04,$150 Gift Cert; NCGA Matches and JR Club Championship
2012-08-05,Jr Club Championship Round 2
2012-08-06,DentPro Outing - Mitch Buich
2012-08-07,
2012-08-08,
2012-08-09,
2012-08-10,Hot
2012-08-11,NCGA Match
2012-08-12,Sweeps
2012-08-13,
2012-08-14,Niner Play Day
2012-08-15,Sr Interclub
2012-08-16,Past Presidents
2012-08-17,Nakashima Fitting Day
2012-08-18,Directors Cup Round 1
2012-08-19,Directors Cup Round 2
2012-08-20,St. Mary's Community Event
2012-08-21,
2012-08-22,
2012-08-23,
2012-08-24,
2012-08-25,TM Demo Day
2012-08-26,Charged GP entries
2012-08-27,
2012-08-28,
2012-08-29,
2012-08-30,The Gathering
2012-08-31,Gold Putter Round 1
2012-09-01,Gold Putter
2012-09-02,Gold Putter Day Three
2012-09-03,Holiday
2012-09-04,CLOSED FOR LABOR DAY
2012-09-05,
2012-09-06,DWGG Formal Gues t Day
2012-09-07,
2012-09-08,
2012-09-09,
2012-09-10,Union Bank
2012-09-11,Seniors v RH and Castle; drawer short so no deposit made
2012-09-12,
2012-09-13,
2012-09-14,Holysomker
2012-09-15,Couples Club Championship Rd 1
2012-09-16,Couples Club Championship Rd 2
2012-09-17,Sentinels
2012-09-18,Holyniners and Carondelet
2012-09-19,
2012-09-20,DWGG club Championship
2012-09-21,DWGG Club Championship round 2
2012-09-22,
2012-09-23,
2012-09-24,
2012-09-25,holyniner formal guest day
2012-09-26,
2012-09-27,Dwgg Club Championship rd 3
2012-09-28,
2012-09-29,
2012-09-30,
2012-10-01,
2012-10-02,
2012-10-03,DWGG Classic Practice Round
2012-10-04,DWGG Classic Rd 1
2012-10-05,DWGG Classic Rd 2
2012-10-06,
2012-10-07,
2012-10-08,De La
2012-10-09,
2012-10-10,Cold
2012-10-11,
2012-10-12,Rainy
2012-10-13,Mtn. Cup
2012-10-14,Mtn. Cup Day 2
2012-10-15,
2012-10-16,Aerification
2012-10-17,
2012-10-18,
2012-10-19,
2012-10-20,perfect day
2012-10-21,
2012-10-22,
