Day,Notes
2014-09-02,Barry Foon Community Event
2014-09-02,"quiet, nice day.  "
2014-09-02,Quiet day POST 
2014-09-02,POST
2014-09-02,
2014-09-02,DWGG Formal Guest Day POST
2014-10-02,Senior Finale
2014-10-02,Slow Friday 
2014-10-02,Rainy AM
2014-10-02,Chilly Sunday
2014-10-02,Mustang Soccer
2014-10-02,Inventory. POST
2014-10-02,DWGG Halloween Tourney POST
2014-10-02,Halloween Spooky POST
2014-10-02,DWGG Mini Invitational
2014-10-02,Bandit Shootout & Claremont Day
2014-10-02,
2014-10-02,Bandit Shootout   
2014-10-02,De La Salle Fall tournament
2014-10-02,Holyniners
2014-10-02,Mountain Cup Draw
2014-10-02,Mountain Cup Final Round
2014-10-02,Greens Punched POST
2014-10-02,DWGG Play Day
2014-10-02,Super Slow FRI POST
2014-10-02,POST
2014-10-02,Holyniners POST
2014-10-02,Titleist Tour Van POST
2014-10-02,Slow Wednesday. POST
2014-11-02,3 Club Tournament
2014-11-02,
2014-11-02,Did not deposit full 47.74 amount. Cash drawyer short from previous day.
2014-11-02,Junior Golf Team
2014-11-02,POST
2014-11-02,Overcast Friday POST
2014-11-02,Holyniner Play Day
2014-11-02,Rainy Sunday POST
2014-11-02,turkey Hangover
2014-11-02,Frost Delay until 9:00am
2014-11-02,Thanksgiving
2014-11-02,Men In Black
2014-11-02,Busy Thanksgiving Week
2014-11-02,NO POST   
2014-11-02,Rainy. Parent/Junior Championship
2014-11-02,NO POST rainy Friday 
2014-11-02,DWGG Turkey Shoot. RAIN
2014-11-02,Rainy   
2014-11-02,Cold
2014-11-02,Cold Sunday
2014-11-02,Busy Sat. Juniors On Course POST
2014-11-02,Couples Turkey Shoot 
2014-11-02,Rainy Day. Cart path only. 
2014-11-02,Overcast slow Wed
2014-11-02,Veterens Day Observance 17 players 
2014-12-02,Frost Delay. Cart Path Only. Don't Post
2014-12-02,HDCP Flags OK. POST
2014-12-02,Retail Party NO POST
2014-12-02,Rain all day. No players. Don't post. 
2014-12-02,Do Not Post
2014-12-02,NO POST 
2014-12-02,CLOSED
2014-12-02,POST
2014-12-02,POST Employee Sale
2014-12-02,stormaggedon - NO players.
2014-12-02,Don't POST
2014-12-02,Cart Path Only. Don't Post
2014-12-02,Rain. Cart Path Only. Don't Post
2014-12-02,don’t post
2014-12-02,Cart Path Only. Do Not Post
2014-12-02,No Post
2014-12-02,Christmas Eve. Don't Post
2014-12-02,NO PLAY DO NOT POST
2014-12-02,
2015-02-02,"Dwgg play day, Post"
2015-02-02,Super Sunday. POST
2015-02-02,
2015-02-02,"Niners, POST"
2015-02-02,Foggy morning/ Post
2015-02-02,"Dwgg, Post"
2015-02-02,First Rain of the Year
2015-02-02,"NO Posting, rain off and on"
2015-02-02,Rain all day. Don't POST
2015-02-02,Don't Post
2015-02-02,Don’t Post
2015-02-02,Warm day. POST
2015-02-02,Happy Valentines Day. Warm. Don't POST
2015-02-02,"Beautiful Sunday, Post "
2015-02-02,"Presidents Day, Busy, Post"
2015-02-02,Post
2015-02-02,"Dwgg , Post"
2015-02-02,"Sunny, Post"
2015-02-02,NCPGA Pro-Scotch
2015-02-02,"Overcast, Post"
2015-02-02,"Beautiful day, Post"
2015-02-02,"Busy Friday, Post"
2015-02-02,POST
2015-02-02,"Windy, Post"
2015-02-02,"Don’t  Post, Niners "
2015-03-02,"Warm day, busy. POST"
2015-03-02,Bay Area Pinseekers Tournament - 11am gun
2015-03-02,Post
2015-03-02,"Warm, POST"
2015-03-02,"Dwgg, Post"
2015-03-02,"Beautiful, busy Friday. Post"
2015-03-02,"Busy Saturday, Post"
2015-03-02,"Beautiful Sunday, Post "
2015-03-02,POST
2015-03-02,De La Salle Invitational
2015-03-02,"Post, slow Tuesday"
2015-03-02,"Rain in the AM, POST"
2015-03-02,"Greens Aerified, Post"
2015-03-02,"Holyniner Informal Guest day, post, St. Paddys Day"
2015-03-02,"Warm, Busy Friday. POST"
2015-03-02,
2015-03-02,Warm day. POST
2015-03-02,"Dwgg rules day, post"
2015-03-02,WGANC Open Day
2015-03-02,SAT. POST
2015-03-02,"Busy Sunday, Post "
2015-03-02,"Demo Day on 18, busy sat. Post"
2015-03-02,Misty morning. Carts on course. Post
2015-03-02,"Niners, Dls Match,  Post"
2015-03-02,"Nice weather, Busy Sunday, Post"
2015-04-02,"Golf Shop Inventory cont. , Post"
2015-04-02,Junior Trunk Show. Parent Junior Championship
2015-04-02,PING Demo Day. POST
2015-04-02,"Dwgg Medal Play, Post"
2015-04-02,East Bay Golf League. POST
2015-04-02,Carondelet Community event
2015-04-02,Holyniner . POST
2015-04-02,Golf Shop Inventory
2015-04-02,Busy Friday. POST
2015-04-02,Post
2015-04-02,
2015-04-02,Easter Sunday. Some rain in the AM. POST
2015-04-02,Busy Saturday. POST
2015-04-02,"Cold Morning, Post"
2015-04-02,Dwgg Formal guest day. Post
2015-04-02,"Rainy Morning, Don’t Post"
2015-04-02,"Updated Handicaps, Post"
2015-04-02,Final Round of 4-man 
2015-04-02,MPS 4-Man Round 1
2015-04-02,"MPS PREP, Post"
2015-04-02,POST
2015-04-02,Holyniner Guest Day. POST
2015-04-02,Catholic Charities
2015-04-02,"Busy Masters Sunday, Post"
2015-04-02,"TaylorMade Demo Day, Post "
2015-04-02,"Nice, Busy Friday. POST"
2015-04-02,Warm Sunday. POST
2015-05-02,Scotch Club practice rounds. POST
2015-05-02,Scotch Club rounds 1-3
2015-05-02,Ebgl cancelled- Post
2015-05-02,
2015-05-02,Bandit Shootout Rd 1. POST
2015-05-02,"DWGG Member/Member, Post"
2015-05-02,"XXIO demo day, Post"
2015-05-02,"Memorial Day, Off by 2 rounds ( juniors not in clubsoft), Post"
2015-05-02,"Nice Busy Day, Post"
2015-05-02,Orange Ball Tournament. POST
2015-05-02,"DWGG Spring Hdcp, Big Wheels, Post"
2015-05-02,"holyniner informal guest day, Post"
2015-05-02,San Damiano Community Event
2015-05-02,"Presidents cup round 2, Post"
2015-05-02,"Presidents cup round 1, Post"
2015-05-02,"DWGG Spring Hdcp Round 2, Post"
2015-05-02,Spring Handicap Rd 1. RAIN. 
2015-05-02,"Drawer short $5, Post"
2015-05-02,Brother Maris Community Tournament
2015-05-02,post
2015-05-02,Couples Twilight
2015-05-02,"Friday, busy, Post"
2015-05-02,"Drizzled/Rained, DWGG Spring Handicap Qualifier, Post"
2015-05-02,"Scotch Final Day, Post"
2015-05-02,Bandit Shootout final round. POST
2015-05-02,Busy Friday. POST
2015-05-02,warm sat. Post
2015-06-02,Holyniner TOC 2. Post
2015-06-02,"overcast, Post"
2015-06-02,"DWGG Formal Guest Day, Post"
2015-06-02,Holysmoker. BUSY
2015-06-02,"Day 1 Member/Member, Post"
2015-06-02,"Directors cup final round, Post"
2015-06-02,Jr. Achievement
2015-06-02,"Holyniner team play, Post"
2015-06-02,
2015-06-02,Corena Green Post
2015-06-02,Cancer Support Tournament
2015-06-02,Blind Throw Away Tournament. POST
2015-06-02,Fallen Heroes
2015-06-02,"Practice round for DWGG Inv., Post"
2015-06-02,Drought conditions.
2015-06-02,"No Tournaments, Post"
2015-06-02,Wells Fargo Community Event
2015-06-02,"first day of summer, Fathers Day, Post"
2015-06-02,Hot. Drought Rules.
2015-06-02,"Day 2 Pop Smith Invitational, Last day of Kids Camp"
2015-06-02,Day 1 Pop Smith Invitational
2015-06-02,Senior Prep
2015-06-02,"Seniors Interclub, Kids Camp Day 2, Post"
2015-06-02,"DBIA Tournament, Kids Camp Day 1"
2015-06-02,Jr Par 3 Tournament
2015-06-02,Hot Saturday. Drought Rules
2015-06-02,"Day 2 Of June JR. Golf Camp., Post"
2015-06-02,"Set up #18 as range, net closure, Post"
2015-06-02,"Dwgg Inv., post"
2015-07-02,"Ghin  Updates, Post"
2015-07-02,Couples Twilight 5pm gun
2015-07-02,Junior Point Series # 3
2015-07-02,Danville Chamber of Commerce Community Tournament
2015-07-02,Invertory Post
2015-07-02,"Final Inventory, Post"
2015-07-02,Junior Easy Bay Series 4pm shotgun
2015-07-02,"Busy Friday, prep for next week. "
2015-07-02,Post
2015-07-02,"Seniors Home Vs green Valley, Claremont, Orinda. Post"
2015-07-02,Busy Sunday
2015-07-02,Mountain Mixer 1pm gun.
2015-07-02,"Hot Friday, Post"
2015-07-02,"Captain's Tournament Round 1, Post"
2015-07-02,POST
2015-07-02,Holyniner TOC 3. Jr on course
2015-07-02,Plasters and Masons Community Tournament
2015-07-02,Couples Invitational
2015-07-02,"Junior Point Series #2, Post"
2015-07-02,"Friday, Post"
2015-07-02,"Diablo Team Play, Post"
2015-07-02,"Kitchen Closed, Post"
2015-07-02,"HolyNiners, Post"
2015-07-02,US AM Qualifier
2015-07-02,"Nice Day, US AM Practice RD., POST"
2015-07-02,Happy 4th of July. Flag Day Tournament
2015-07-02,"Warm, busy Friday. Drought Rules"
2015-07-02,"Dwgg  Formal Guest Day, Post"
2015-07-02,"Captain's Tournament Round 2, Golf Camp Day 2, Post"
2015-07-02,Last day of Jr camp.Post.
2015-07-02,Joe Morgan community event
2015-07-02,
2015-08-02,Closed/Inventory
2015-08-02,Let Have A good Day: Post.
2015-08-02,"busy Sunday, Post"
2015-08-02,"2man aggregate, rainy in the AM, Post"
2015-08-02,"Hot, Post"
2015-08-02,Gold Putter prep
2015-08-02,John Muir with buying experience
2015-08-02,Busy Sunday.
2015-08-02,Couples Twilight. Post
2015-08-02,"Ladies Medal Play, Sunny, Post"
2015-08-02,
2015-08-02,Holyniners Play with Pro
2015-08-02,Saint Mary's community event
2015-08-02,Junior Club Championship Final Round. Congrats Spence! HOT!!! J-Day too!
2015-08-02,Friday. Post
2015-08-02,Busy Friday
2015-08-02,Closed
2015-08-02,"Junior Club Championship, Hot, Post"
2015-08-02,"Sunny, Post"
2015-08-02,"DWGG Formal Guest Day, Post"
2015-08-02,"Smith and Jones, Post"
2015-08-02,Busy Saturday.
2015-08-02,Jr Skills Challenge. Tourn Prep
2015-08-02,"Busy, Sunny, Post"
2015-08-02,DentPro Community Event
2015-08-02,"niner clinic, Post"
2015-08-02,"Seniors Home VS. blackhawk,napa,richmond  Post"
2015-08-02,Past President's event
2015-08-02,"Final Day Of Smith & Jones, Post"
2015-09-02,Union Bank.
2015-09-02,Club championship prep. Slow afternoon
2015-09-02,"Campout on course, Post"
2015-09-02,"Hot, Slow Tee Sheet"
2015-09-02,"Finalize Inventory, Post"
2015-09-02,Gold Putter PREP!!!
2015-09-02,"Day 3 of Gold Putter, Horse Race"
2015-09-02,2nd day of Gold Putter
2015-09-02,Last day of Gold Putter
2015-09-02,"Labor Day, Busy day after the Gold Putter, Post"
2015-09-02,First Day of Junior fall Academy 
2015-09-02,
2015-09-02,1st day of Gold Putter
2015-09-02,"Overcast, Post"
2015-09-02,"Slow Overcast Light Rain, Post"
2015-09-02,DWGG Club Championship Round 2
2015-09-02,"1914 qualifier, Post"
2015-09-02,"First Day of Match play club championship, Post"
2015-09-02,St. Isidore community event
2015-09-02,"Holyniners Formal Guest day, Post"
2015-09-02,DWGG Club Championship Prep. Post
2015-09-02,"Dwgg Club Championship Final Round, Post"
2015-09-02,Big Pig night.
2015-09-02,1914 semi finals- Post
2015-09-02,1914 Final Matches
2015-09-02,Barry Foon
2015-09-02,"Tuesday overcast, post"
2015-09-02,Senior Interclub
2015-09-02,"DWGG Club Championship Round 1, Post"
2015-09-02,"Dwgg Medal Play, Post"
2015-10-02,"DWGG Medal Play, Post"
2015-10-02,Claremont Day prep. Busy Friday
2015-10-02,Couples Club Championship Round 2
2015-10-02,"Warm, Post"
2015-10-02,Couples Club Championship Round 1
2015-10-02,De La Salle Community Event
2015-10-02,"Nice day, Holy niners , Post"
2015-10-02,
2015-10-02,"Lgnp Finals, Post"
2015-10-02,Mountain Cup pairings
2015-10-02,day 1 mountain cup
2015-10-02,Final Round Mountain Cup
2015-10-02,AERIFICATION DAY TWO
2015-10-02,"Sunny, Post"
2015-10-02,DWGG Mini Invitational
2015-10-02,DWGG Medal Play
2015-10-02,Finally a little rain!!
2015-10-02,Quiet Sunday
2015-10-02,Cold Am post.
2015-10-02,Bandit Shootout Draw
2015-10-02,"Fitting Van on hole 5, Post."
2015-10-02,"Sunny, Employee Sale, Post"
2015-10-02,Wedding on course.
2015-10-02,Bandit Shootout  round 2 Post.
2015-10-02,Mustang Soccer Community Event
2015-10-02,"Halloween Tournament, Post"
2015-10-02,Slow Wednesday
2015-10-02,"Nice Day, Post"
2015-11-02,Cart Path Only
2015-11-02,"Frost Delay until 9:15am, Cart Path Only post score"
2015-11-02,Cold. Carts back on course.
2015-11-02,Titleist Demo Day
2015-11-02,Frost Delay until 9:00am
2015-11-02,"Holyniners, Cart Path Only"
2015-11-02,Tenacity 10 Golf Tournament
2015-11-02,Claremont Day
2015-11-02,"70 deg, No Events, Post"
2015-11-02,"Parent Junior Tournament, Post"
2015-11-02,"7:30 Start, Post"
2015-11-02,DWGG Turkey Shoot
2015-11-02,Post scores
2015-11-02,Post Scores
2015-11-02,Annual Meeting. Cart Path Only. Don't POST
2015-11-02,Turkey Day!!!!
2015-11-02,Rain Post
2015-11-02,Carts back on the course. POST
2015-11-02,"Frost Delay until 8am, DWGG"
2015-11-02,"Holiday Tee Sheet, Frost Delay Until 8am"
2015-11-02,
2015-11-02,Couples Turkey Shoot.
2015-11-02,Slow Saturday. Turkey Shoot prep
2015-11-02,Nice day. Carts on course. 
2015-12-02,
2015-12-02,"Frost Delay until 9am, post"
2015-12-02,"Frost Delay Until 10:30AM, Very Frosty/Cold"
2015-12-02,Frost Delay until 9:30am
2015-12-02,Frost delay till 10:00 
2015-12-02,POST
2015-12-02,"rain, wind, last minute shoppers"
2015-12-02,"Slow Over Cast Day, Post"
2015-12-02,Holiday Party Prep. Cart Path Only
2015-12-02,Cold & Windy. Slow
2015-12-02,Cart Path Only
2015-12-02,"Cold, mostly raining."
2015-12-02,Cold Day. Cart Path Only
2015-12-02,Rain in morning. No posting. Cold!
2015-12-02,Frost Delay until 9am
2015-12-02,Rain in the PM. CPO
2015-12-02,no post
2015-12-02,frosty post
2015-12-02,Rainy morning.
2015-12-02,"busy wed, no post"
2015-12-02,"COP, Hdcp Ok- no frost."
2015-12-02,Rainy slow
2015-12-02,post
2015-12-02,COLD. Cart path only.
2015-12-02,Wine And Cheese Party
2015-12-02,"Party Prep, No Dwgg today."
2015-12-02,Post
2016-01-02,Rain Out Day. Early Close
2016-01-02,"Dwgg Mystery Mixer, Post"
2016-01-02,POST
2016-01-02,Rain On off. No Post
2016-01-02,Slow & Foggy
2016-01-02,Employee Sale Day
2016-01-02,"1.25"" rain overnight, CPO, No hdcp flags, no posting"
2016-01-02,no post
2016-01-02,"Slow, rainy day. No posting"
2016-01-02,Busy Friday. No Posting
2016-01-02,No Post
2016-01-02,"Rain Early, No Post"
2016-01-02,No Posting
2016-01-02,Cart Path Only
2016-01-02,"Foggy, slow day. No posting."
2016-01-02,Rain No Post.
2016-01-02,"Slow, rainy day"
2016-01-02,
2016-01-02,"Cold, slow Sunday. No Delay"
2016-01-02,"No Frost, Post"
2016-01-02,"Cold, slow New Years."
2016-01-02,no post PM rain
2016-01-02,"Rainy, Post"
2016-01-02,Rain Slow Day No Post
2016-01-02,Busy Morning. Rain late. POST
2016-02-02,DWGG post.
2016-02-02,Slower day. Rain in pm
2016-02-02,Busy Friday
2016-02-02,Busy Saturday. Wamer
2016-02-02,"Super bowl Sunday Busy AM, Post"
2016-02-02,Post
2016-02-02,"Post, nice weather"
2016-02-02,Busy Saturday
2016-02-02,Busy Sunday. Carnoustie Group
2016-02-02,Super busy President's Day. Hot day.
2016-02-02,NCPGA Prep
2016-02-02,"Warm, nice day. Post"
2016-02-02,"Taylormade Demo Day, Sunny"
2016-02-02,"Busy Sat., Post"
2016-02-02,Light rain in the afternoon
2016-02-02,Heavy Rain Over Night
2016-02-02,"Dwgg informal guest day, Post"
2016-02-02,POST
2016-02-02,Holyniner Informal Guest Day. Post
2016-02-02,
2016-03-02,No Post
2016-03-02,Post Day Before Easter.
2016-03-02,All CAL Cart Check up day. Post
2016-03-02,DWGG Rules day. Post
2016-03-02,Aeration day
2016-03-02,post
2016-03-02,"Sunny, post"
2016-03-02,Busy Friday. Post
2016-03-02,"WGANC, post"
2016-03-02,Senior Kick Off
2016-03-02,Easter Sunday. 
2016-03-02,
2016-03-02,Rain in PM no post
2016-03-02,Rainy
2016-03-02,Holyniner Exchange Day w/ Sequoyah
2016-03-02,Post
2016-03-02,Pleasant day
2016-03-02,Cold
2016-03-02,Rain In  PM
2016-03-02,Bay Area Pin Seekers
2016-03-02,Sunny No Post
2016-03-02,Rain All Day NO post.
2016-03-02,"Carts off paths today, Post"
2016-04-02,Holyniners
2016-04-02,"DWGG, Post"
2016-04-02,"Busy, warm Sunday."
2016-04-02,
2016-04-02,Titleist Demo Day. Juniors on course
2016-04-02,Busy!!!!!!!!!   Post
2016-04-02,Holyniners Member Mixer
2016-04-02,PIG
2016-04-02,DWGG Formal Guest day
2016-04-02,Post
2016-04-02,Rainy all day
2016-04-02,Catholic Charities
2016-04-02,"Windy, Post"
2016-04-02,Busy Wednesday
2016-04-02,"Jacque First Day, No Post"
2016-04-02,Sunny
2016-04-02,Busy Thursday
2016-04-02,Carondelet
2016-04-02,Rainy
2016-04-02,Parent Junior Championship
2016-04-02,4 man team championship day 2
2016-04-02,MPS Four Man
2016-04-02,DWGG Medal Play
2016-05-02,"Bandit Shootout Day 1, Gold putter Reg"
2016-05-02,"Busy, warm Friday"
2016-05-02,Memorial Day!!!
2016-05-02,HOT
2016-05-02,DWGG Member Member
2016-05-02,San Ramero Roadrunner Tournament 92 players
2016-05-02,Junior Par 3 Tournament
2016-05-02,"Rainy, Cold"
2016-05-02,Windy
2016-05-02,Dwgg Spring Handicap Final RD 
2016-05-02,Bnadit Shootout Day 2
2016-05-02,Holyniner Informal Guest Day
2016-05-02,Busy Friday
2016-05-02,Last day of President's Cup
2016-05-02,"Presidents Cup, Post"
2016-05-02,Dwgg Spring Handicap RD 1
2016-05-02,Perfect day!
2016-05-02,Holyniner Mystery Mixer  - Cash drawer $50 short???
2016-05-02,Mothers Day
2016-05-02,Raining
2016-05-02,Spring Handicap
2016-05-02,
2016-05-02,"Pig Game , Post"
2016-05-02,San Damiano Tournament 71 Players
2016-05-02,Rounds were adjusted due to double charge member tournament rounds
2016-06-02,Dwgg Formal Guest Day
2016-06-02,Hot Wednesday!!! 
2016-06-02,XXIO Demo Day
2016-06-02,Pop Smith Day 1
2016-06-02,DBIA Community Tournament
2016-06-02,Warm!!!
2016-06-02,Holysmoker
2016-06-02,Ladies medal play
2016-06-02,Normal Wednesday
2016-06-02,US Open Sunday. Happy Fathers Day!
2016-06-02,"Swim Meet, Bay Cities Juniors, Couples Golf"
2016-06-02,Senior Invitational
2016-06-02,Warm Dwgg tee times.
2016-06-02,Pop Smith prep
2016-06-02,Seniors @ home Vs orinda contra costa sanjose
2016-06-02,Jr. Acheivement
2016-06-02,Junior Point Series # 2
2016-06-02,DWGG Classic Final Day
2016-06-02,DWGG classic RD 1 
2016-06-02,DWGG classic par 3 
2016-06-02,
2016-06-02,Fallen Heroes
2016-06-02,Final Day Of Member Member
2016-06-02,Directors Cup Day 1
2016-06-02,HOT
2016-06-02,"HOT, kinda slow Sunday"
2016-06-02,"Hot, Bay Cities Vs Castlewood"
2016-07-02,Nice
2016-07-02,"Bay City Juniors, Couples and Junior play"
2016-07-02,Couples Invitational
2016-07-02,Plasterers and Masons Community Tournament
2016-07-02,JR Point Series
2016-07-02, Busy Friday
2016-07-02,Post
2016-07-02,Slow Sunday
2016-07-02,Flag day!!!!
2016-07-02,Hi
2016-07-02,JR.s 
2016-07-02,dane is a boss on Sunday 
2016-07-02,MPS Mountain Mixer
2016-07-02,Busy Sunday!!!
2016-07-02,Joe Morgan Event
2016-07-02,Seniors Home #2
2016-07-02,Me
2016-07-02,DWGG Captain's Tournament
2016-07-02,HOT
2016-07-02,Couples Twilight
2016-07-02,
2016-07-02,Danville Chamber of Commerce
2016-07-02,"Slow, super hot!!!"
2016-07-02,HOT!!!
2016-07-02,Thursday Dwgg.
2016-07-02,"Hot, Quiet"
2016-07-02,New Handicaps
2016-07-02,Team Play Day
2016-08-02,
2016-08-02,Sunday Sunday Sunday!!!
2016-08-02,Dwgg Formal guest day.
2016-08-02,Pig Night
2016-08-02,Fun Fun
2016-08-02,Scott Prosser CBRE
2016-08-02,Holyniners Informal Guest Day
2016-08-02,Seniors Home & Home 8/10/16
2016-08-02,-1.96
2016-08-02,HOT
2016-08-02,Junior Club Championship
2016-08-02, Gold Putter Tomorrow
2016-08-02,Saint Mary's Golf Tournament (Did not ring in rounds but put on todays spread sheet)
2016-08-02,Happy Day :)
2016-08-02,Past Presidents
2016-08-02,Friday!!!
2016-08-02,Hot
2016-08-02,Dent Pro
2016-08-02,Quiet Day
2016-08-02,"Drawer $20 short, quiet day"
2016-08-02,Putter Prep 
2016-08-02,Couples Twilight
2016-08-02,Rang in Saint Mary's Tournament
2016-08-02,Tournament Community Rounds Sales reads (430.00) with 0 rounds played
2016-09-02,Quiet Thursday
2016-09-02,Day Two DWGG Club Championship and 1914 Club Champ Prep
2016-09-02,Gold Putter  Rd 1
2016-09-02,Day # GP
2016-09-02,Last Day of Gold Putter
2016-09-02,Labor Day cash register short $99.90 at close
2016-09-02,
2016-09-02,Senior Interclub
2016-09-02,Camp Out on 16
2016-09-02,Post
2016-09-02,Football is BACK (SLOW)
2016-09-02,Phil Wells Community Tournament
2016-09-02,Slow Afternoon
2016-09-02,Warm Day
2016-09-02,Day One DWGG Club Championship
2016-09-02,1914 Qualifying Round
2016-09-02,1914 Club Championship Round 1
2016-09-02,Employee Sale
2016-09-02,Final Round DWGG Club Championship
2016-09-02,1914 Gross Match Play Round 2
2016-09-02,1914 Club Championship Finals
2016-09-02,1st day of Gold Putter
2016-09-02,HOT
2016-09-02,"TaylorMade Demo day, Couples Club Championship Prep"
2016-10-02,Busy early. Quiet after 1:00pm
2016-10-02,Rain in the AM
2016-10-02,Mustang Soccer Community Tournament
2016-10-02,Bandit Shoot Out Day 2
2016-10-02,Bandit Shoot Out/ Junior Academy On Course
2016-10-02,Bandit Shoot Out Prep
2016-10-02,Ladies Day
2016-10-02,Slow 
2016-10-02,CONSTRUCTION
2016-10-02,Rain throughout day
2016-10-02,Rain started at 4pm
2016-10-02,Rainy Day
2016-10-02,LGNP Finals
2016-10-02,SLOWWW
2016-10-02,Aeration
2016-10-02,Mountain Cup Final Round
2016-10-02,Mountain Cup
2016-10-02,
2016-10-02,DWGG Mini Invitational
2016-10-02,Mini prep
2016-10-02,AM rain
2016-10-02,De La Salle Tournament
2016-10-02,Tenacity Outside Event. 68 players
2016-10-02,Couples Club Championship
2016-10-02,"short $2, Day 1 of Couples Club Championship"
2016-10-02,Heavy rain throughout the AM
2016-10-02,Holy Niner Member Mixer
2016-10-02,DWGG Halloween Tournament Cancelled
2016-11-02,Inventory Reconcile
2016-11-02,Finalize Inventory & Auditors
2016-11-02,Ladies Informal Guest Day
2016-11-02,Busy until 1:30pm
2016-11-02,Titleist Demo Day
2016-11-02,Carnoustie group
2016-11-02,
2016-11-02,Election Day
2016-11-02,Rain rain rain
2016-11-02,Holyniners
2016-11-02,Veteran's Day
2016-11-02,"Cash Over $100, Post, Jrs practice on course"
2016-11-02,Couples Turkey Shoot
2016-11-02,"Cold, some light rain in the afternoon"
2016-11-02,Cold
2016-11-02,DWGG Turkey Shoot
2016-11-02,Sunny Friday
2016-11-02,Fall Parent Junior Golf Tournament
2016-11-02,"DWGG, Sunny"
2016-11-02,Men In Black and busy day
2016-11-02,Christmas Decorating!
2016-11-02,Holiday Party prep
2016-11-02,Sunday funday 
2016-11-02,Rainy Day Keeps The Golfer's Away
2016-11-02,Black Friday
2016-11-02,Thanksgiving
2016-12-02,Christmas Shopping
2016-12-02,DWGG Holiday Party
2016-12-02,windy! Holiday partayyyyyyy
2016-12-02,Day After Holiday Party
2016-12-02,Frost Delay until 9:30AM
2016-12-02,
2016-12-02,$1800 check. Cold day with some rain
2016-12-02,Rain all day
2016-12-02,Light Rain 
2016-12-02,Christmas Party upstairs
2016-12-02,Rain in the afternoon
2016-12-02,Sunny and Warm
2016-12-02,Christmas Eve
2016-12-02,Slow Sunday
2016-12-02,Frost Delay and Warm
2016-12-02,No Frost Delay
2016-12-02,New Years Eve
2016-12-02,Frost Delay until 10:00am
2016-12-02,Sunny and Cold
2016-12-02,Coldddd
2016-12-02,Rain Out
2016-12-02,Overcast and Windy
2016-12-02,(Old Gift Certificate drop) COLD!!!!
2017-01-02,New Years Day
2017-01-02,Sunny and no rain!
2017-01-02,
2017-01-02,Rainy day
2017-01-02,Cold. Course is very wet from 2 days of rain.
2017-01-02,COLD
2017-01-02,"Rainy Day, closed early"
2017-01-02,Rain. Closed at 12.
2017-01-02,Rain. Closed at 3.
2017-01-02,Rain. Close at 3
2017-01-02,Sunny Saturday
2017-01-02,Foggy Morning 
2017-01-02,MLK Day. Open
2017-01-02,Frost Delay until 9:00AM
2017-01-02,Inventory. Frost til 9
2017-01-02,Busy Saturday
2017-01-02,Mystery Mixer
2017-01-02,Cold
2017-01-02,Busy Friday
2017-01-02,RAINY
2017-01-02,Closed at 3 cuz of rain
2017-01-02,Cold Rain Close at 12
2017-01-02,"Cold, slow day"
2017-01-02,Stormy
2017-02-02,Rain on and off
2017-02-02,Beautiful Day
2017-02-02,Warm day before Rain
2017-02-02,"Nice Day, not too busy."
2017-02-02,No rounds. Rain out
2017-02-02,Busy Busy Busy
2017-02-02,Normal Day
2017-02-02,"Sunny, chilly day."
2017-02-02,Chilly day
2017-02-02,Warm day
2017-02-02,Sunny warm day
2017-02-02,Wet
2017-02-02,PXG Fitting Day. Sunny 
2017-02-02,Slow Slow Slow
2017-02-02,RAIN RAIN RAIN Closed at 3
2017-02-02,Course Closed until 10 AM. Steady Rain
2017-02-02,Golf Course Closed due to Rain
2017-02-02,
2017-02-02,Super Bowl Sunday
2017-02-02,Cloudy and Light Rain
2017-02-02,Rainy Day
2017-02-02,Inventory Reconciliation
2017-02-02,Blakes First Day
2017-02-02,Sunny in afternoon
2017-03-02,Heavy Rain throughout day
2017-03-02,Only Front Nine Open. Green Aerification.
2017-03-02,Green Aerification
2017-03-02,Rain through to afternoon
2017-03-02,Nice day
2017-03-02,Saint Patricks Day
2017-03-02,DWGG Open Day
2017-03-02,Bobby Grace Putter Fitting Day
2017-03-02,Beautiful busy day
2017-03-02,Busy Sunday
2017-03-02,Taylormade Demo Day
2017-03-02,Busy Day
2017-03-02,busy
2017-03-02,Sunny day
2017-03-02,Sunny and windy day
2017-03-02,Warm Day
2017-03-02,normal day
2017-03-02,NCPGA Pro Scotch
2017-03-02,On and off Rain throughout day
2017-03-02,Morning Rain
2017-03-02,Busy Friday
2017-03-02,
2017-03-02,Sunny Day
2017-03-02,Sun was out but quiet
2017-03-02,De La Salle High School Tournament 
2017-03-02,Busy Busy
2017-04-02,
2017-04-02,normal day
2017-04-02,Mens Four Man Championship Round 2
2017-04-02,Mens Four Man Championship Round 1
2017-04-02,nothing special
2017-04-02,Senior Kick Off
2017-04-02,Masters Sunday
2017-04-02,Rain on and off
2017-04-02,Periods of rain
2017-04-02,DWGG Formal Guest Day
2017-04-02,busy for a Wednesday
2017-04-02,busy
2017-04-02,Beautiful Sunny Day
2017-04-02,IOU JW $30 
2017-04-02,Normal Day. High School/Middle School Matches
2017-04-02,Busy Friday
2017-04-02,Easter Sunday/Rainy
2017-04-02,Busy Sunday
2017-04-02,nice day
2017-04-02,The Wall Day 1
2017-04-02,Bandit Shootout Round 1 and The Wall Day 2
2017-04-02,Bandit Shootout Round 2
2017-04-02,Parent/child Championship
