rounds,walkers,tourney,date,DOW
17.0,13.0,0.0,2012-03-31,5
129.0,40.0,0.0,2012-04-01,6
0.0,0.0,0.0,2012-04-02,0
59.0,28.0,0.0,2012-04-03,1
72.0,27.0,0.0,2012-04-04,2
95.0,16.0,12.0,2012-04-05,3
119.0,41.0,1.0,2012-04-06,4
151.0,53.0,0.0,2012-04-07,5
48.0,15.0,0.0,2012-04-08,6
0.0,0.0,0.0,2012-04-09,0
7.0,3.0,0.0,2012-04-10,1
34.0,9.0,0.0,2012-04-11,2
20.0,10.0,0.0,2012-04-12,3
31.0,7.0,0.0,2012-04-13,4
140.0,50.0,0.0,2012-04-14,5
182.0,59.0,0.0,2012-04-15,6
88.0,0.0,88.0,2012-04-16,0
67.0,23.0,0.0,2012-04-17,1
74.0,13.0,0.0,2012-04-18,2
108.0,42.0,0.0,2012-04-19,3
145.0,42.0,0.0,2012-04-20,4
171.0,19.0,116.0,2012-04-21,5
147.0,6.0,112.0,2012-04-22,6
0.0,0.0,0.0,2012-04-23,0
63.0,12.0,0.0,2012-04-24,1
53.0,7.0,0.0,2012-04-25,2
74.0,25.0,0.0,2012-04-26,3
115.0,36.0,0.0,2012-04-27,4
138.0,35.0,0.0,2012-04-28,5
164.0,58.0,0.0,2012-04-29,6
103.0,0.0,103.0,2012-04-30,0
81.0,22.0,0.0,2012-05-01,1
53.0,13.0,0.0,2012-05-02,2
70.0,17.0,2.0,2012-05-03,3
144.0,41.0,0.0,2012-05-04,4
141.0,61.0,0.0,2012-05-05,5
159.0,29.0,0.0,2012-05-06,6
132.0,0.0,0.0,2012-05-07,0
151.0,0.0,0.0,2012-05-08,1
79.0,19.0,0.0,2012-05-09,2
109.0,29.0,0.0,2012-05-10,3
116.0,30.0,0.0,2012-05-11,4
144.0,40.0,3.0,2012-05-12,5
81.0,27.0,0.0,2012-05-13,6
140.0,0.0,140.0,2012-05-14,0
100.0,29.0,0.0,2012-05-15,1
68.0,13.0,0.0,2012-05-16,2
71.0,31.0,0.0,2012-05-17,3
125.0,28.0,0.0,2012-05-18,4
143.0,65.0,0.0,2012-05-19,5
120.0,12.0,0.0,2012-05-20,6
88.0,0.0,88.0,2012-05-21,0
102.0,16.0,5.0,2012-05-22,1
101.0,25.0,0.0,2012-05-23,2
79.0,22.0,0.0,2012-05-24,3
109.0,23.0,0.0,2012-05-25,4
109.0,31.0,0.0,2012-05-26,5
132.0,24.0,0.0,2012-05-27,6
146.0,32.0,0.0,2012-05-28,0
0.0,0.0,0.0,2012-05-29,1
91.0,22.0,0.0,2012-05-30,2
24.0,2.0,3.0,2012-05-31,3
106.0,36.0,0.0,2012-06-01,4
161.0,35.0,1.0,2012-06-02,5
153.0,36.0,1.0,2012-06-03,6
70.0,0.0,70.0,2012-06-04,0
103.0,30.0,3.0,2012-06-05,1
72.0,15.0,0.0,2012-06-06,2
93.0,18.0,0.0,2012-06-07,3
140.0,36.0,0.0,2012-06-08,4
119.0,3.0,0.0,2012-06-09,5
140.0,23.0,0.0,2012-06-10,6
120.0,0.0,120.0,2012-06-11,0
98.0,9.0,0.0,2012-06-12,1
82.0,17.0,4.0,2012-06-13,2
135.0,10.0,0.0,2012-06-14,3
77.0,18.0,0.0,2012-06-15,4
162.0,44.0,5.0,2012-06-16,5
134.0,19.0,1.0,2012-06-17,6
148.0,0.0,148.0,2012-06-18,0
120.0,31.0,5.0,2012-06-19,1
83.0,17.0,1.0,2012-06-20,2
114.0,9.0,0.0,2012-06-21,3
144.0,8.0,0.0,2012-06-22,4
131.0,54.0,0.0,2012-06-23,5
150.0,45.0,0.0,2012-06-24,6
104.0,0.0,104.0,2012-06-25,0
91.0,30.0,5.0,2012-06-26,1
86.0,20.0,3.0,2012-06-27,2
82.0,25.0,0.0,2012-06-28,3
138.0,35.0,4.0,2012-06-29,4
117.0,44.0,0.0,2012-06-30,5
94.0,9.0,2.0,2012-08-01,2
84.0,6.0,4.0,2012-08-02,3
126.0,28.0,2.0,2012-08-03,4
136.0,39.0,0.0,2012-08-04,5
120.0,27.0,0.0,2012-08-05,6
98.0,0.0,98.0,2012-08-06,0
76.0,20.0,2.0,2012-08-07,1
60.0,9.0,0.0,2012-08-08,2
70.0,6.0,4.0,2012-08-09,3
81.0,21.0,1.0,2012-08-10,4
90.0,26.0,0.0,2012-08-11,5
100.0,17.0,0.0,2012-08-12,6
0.0,0.0,0.0,2012-08-13,0
79.0,35.0,0.0,2012-08-14,1
131.0,11.0,0.0,2012-08-15,2
106.0,31.0,0.0,2012-08-16,3
113.0,27.0,0.0,2012-08-17,4
129.0,12.0,0.0,2012-08-18,5
128.0,9.0,0.0,2012-08-19,6
135.0,0.0,135.0,2012-08-20,0
94.0,40.0,12.0,2012-08-21,1
115.0,51.0,0.0,2012-08-22,2
110.0,17.0,2.0,2012-08-23,3
116.0,33.0,0.0,2012-08-24,4
137.0,50.0,0.0,2012-08-25,5
106.0,27.0,0.0,2012-08-26,6
0.0,0.0,0.0,2012-08-27,0
125.0,50.0,0.0,2012-08-28,1
81.0,19.0,0.0,2012-08-29,2
216.0,0.0,0.0,2012-08-30,3
216.0,0.0,0.0,2012-08-31,4
216.0,0.0,0.0,2012-09-01,5
216.0,0.0,0.0,2012-09-02,6
124.0,27.0,0.0,2012-09-03,0
0.0,0.0,0.0,2012-09-04,1
63.0,19.0,0.0,2012-09-05,2
60.0,7.0,0.0,2012-09-06,3
133.0,24.0,1.0,2012-09-07,4
91.0,25.0,0.0,2012-09-08,5
85.0,23.0,0.0,2012-09-09,6
114.0,0.0,113.0,2012-09-10,0
89.0,13.0,0.0,2012-09-11,1
78.0,20.0,0.0,2012-09-12,2
85.0,18.0,2.0,2012-09-13,3
112.0,32.0,0.0,2012-09-14,4
96.0,45.0,0.0,2012-09-15,5
99.0,20.0,0.0,2012-09-16,6
126.0,2.0,124.0,2012-09-17,0
61.0,26.0,0.0,2012-09-18,1
73.0,22.0,0.0,2012-09-19,2
64.0,1.0,0.0,2012-09-20,3
92.0,26.0,0.0,2012-09-21,4
86.0,26.0,0.0,2012-09-22,5
90.0,11.0,0.0,2012-09-23,6
108.0,0.0,108.0,2012-09-24,0
114.0,23.0,0.0,2012-09-25,1
71.0,13.0,0.0,2012-09-26,2
86.0,22.0,0.0,2012-09-27,3
114.0,29.0,0.0,2012-09-28,4
109.0,52.0,0.0,2012-09-29,5
66.0,26.0,0.0,2012-09-30,6
0.0,0.0,0.0,2012-10-01,0
73.0,42.0,0.0,2012-10-02,1
69.0,6.0,0.0,2012-10-03,2
103.0,3.0,0.0,2012-10-04,3
132.0,13.0,0.0,2012-10-05,4
92.0,20.0,0.0,2012-10-06,5
122.0,33.0,0.0,2012-10-07,6
122.0,0.0,122.0,2012-10-08,0
51.0,25.0,0.0,2012-10-09,1
49.0,4.0,0.0,2012-10-10,2
100.0,49.0,0.0,2012-10-11,3
73.0,16.0,0.0,2012-10-12,4
150.0,30.0,0.0,2012-10-13,5
115.0,18.0,0.0,2012-10-14,6
0.0,0.0,0.0,2012-10-15,0
74.0,21.0,0.0,2012-10-16,1
61.0,20.0,0.0,2012-10-17,2
73.0,21.0,0.0,2012-10-18,3
106.0,24.0,0.0,2012-10-19,4
98.0,28.0,0.0,2012-10-20,5
69.0,24.0,0.0,2012-10-21,6
0.0,0.0,0.0,2012-10-22,0
32.0,10.0,0.0,2012-10-23,1
39.0,10.0,-4.0,2012-10-24,2
