iter	RMSE
0	89.89638717
1	88.33899973
2	86.81838792
3	85.26907853
4	83.79684924
5	82.38869849
6	80.99362415
7	79.62215119
8	78.26759683
9	76.93482661
10	75.6556695
11	74.39551286
12	73.14911787
13	71.95131841
14	70.77018234
15	69.55935251
16	68.40658456
17	67.3009914
18	66.23477243
19	65.12788193
20	64.05556015
21	63.04887421
22	62.10346352
23	61.0993741
24	60.17530326
25	59.24512891
26	58.2849092
27	57.39454436
28	56.51653579
29	55.62281082
30	54.75536679
31	53.94020364
32	53.16198468
33	52.37637683
34	51.63736021
35	50.86073952
36	50.14333632
37	49.38423194
38	48.71237739
39	48.05010858
40	47.3631634
41	46.73547178
42	46.0909715
43	45.4713307
44	44.87708001
45	44.25485956
46	43.68335356
47	43.06702553
48	42.47604051
49	41.91706231
50	41.40170221
51	40.85127107
52	40.33300564
53	39.8309298
54	39.31881465
55	38.80933271
56	38.33723688
57	37.85973443
58	37.4011496
59	36.98403622
60	36.55084638
61	36.13448161
62	35.72570181
63	35.34823706
64	34.94913385
65	34.60880461
66	34.21519391
67	33.85304773
68	33.49700082
69	33.1841835
70	32.88254709
71	32.55928244
72	32.23665635
73	31.92318523
74	31.60914483
75	31.3461685
76	31.09459396
77	30.83174959
78	30.56434363
79	30.2751282
80	30.03619642
81	29.77317635
82	29.56700487
83	29.34045449
84	29.09483522
85	28.87363983
86	28.66975382
87	28.48287584
88	28.27321021
89	28.06554772
90	27.87855783
91	27.67744904
92	27.49870225
93	27.33584968
94	27.16687623
95	27.01960171
96	26.89303416
97	26.74251637
98	26.60695203
99	26.44259382
100	26.29740142
101	26.14774563
102	26.00393262
103	25.8718464
104	25.74234931
105	25.60532469
106	25.46852335
107	25.36835303
108	25.25098962
109	25.13922652
110	25.02879468
111	24.93257215
112	24.82709679
113	24.718789
114	24.60834696
115	24.51113994
116	24.41395447
117	24.33865363
118	24.24708103
119	24.15246949
120	24.05200103
121	23.97013172
122	23.89016007
123	23.81247447
124	23.72522093
125	23.66028909
126	23.57816874
127	23.50293618
128	23.44203007
129	23.39544837
130	23.34689833
131	23.28340264
132	23.22541069
133	23.1563068
134	23.09854305
135	23.02733641
136	22.9721285
137	22.92968722
138	22.87403448
139	22.81589338
140	22.77037704
141	22.72050834
142	22.66835141
143	22.62453733
144	22.56192914
145	22.50964935
146	22.4639226
147	22.42313356
148	22.38569094
149	22.33577538
150	22.30239955
151	22.26859421
152	22.22235345
153	22.18361964
154	22.14919666
155	22.11670583
156	22.07904648
157	22.03665155
158	22.01724086
159	21.97943748
160	21.95177183
161	21.92173653
162	21.896024
163	21.87063554
164	21.84807302
165	21.8200877
166	21.79051415
167	21.76006874
168	21.74862248
169	21.72819459
170	21.69637167
171	21.66901486
172	21.63064799
173	21.60437356
174	21.57702736
175	21.55810811
176	21.53543787
177	21.5125774
178	21.4813801
179	21.45406819
180	21.43180999
181	21.41362243
182	21.38046655
183	21.36349955
184	21.3446486
185	21.33031439
186	21.31088407
187	21.28430456
188	21.27185786
189	21.25568622
190	21.2390127
191	21.22259361
192	21.20347733
193	21.19312978
194	21.17486841
195	21.1614059
196	21.14302573
197	21.12369214
198	21.10539322
199	21.09044694
200	21.0725661
201	21.04468579
202	21.03464546
203	21.0264362
204	21.01484719
205	20.99385492
206	20.97920158
207	20.97705821
208	20.9567715
209	20.94577066
210	20.93684239
211	20.91566087
212	20.90537003
213	20.89568312
214	20.87744382
215	20.86606165
216	20.85866484
217	20.84222631
218	20.82461333
219	20.822411
220	20.81413168
221	20.80185164
222	20.78196788
223	20.77313206
224	20.76175475
225	20.75291108
226	20.73844418
227	20.72390333
228	20.7146994
229	20.70390618
230	20.696122
231	20.68854623
232	20.66939551
233	20.66107825
234	20.65124107
235	20.64090768
236	20.63472736
237	20.62742614
238	20.6198341
239	20.60797224
240	20.59165222
